f: 1    g: 0    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
f: 2    g: 1    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG.HH.
f: 2    g: 1    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF..GG.HH
f: 3    g: 2    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG..HH
f: 3    g: 2    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 3    g: 2    h: 1    IJBBCCIJDDL.IJAAL.EE..L...KFF.GGKHH.
f: 3    g: 2    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 4    g: 3    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 4    g: 3    h: 1    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 4    g: 3    h: 1    IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
f: 4    g: 3    h: 1    IJBBCCIJDDL.IJAAL...EEL...KFF.GGKHH.
f: 4    g: 3    h: 1    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 5    g: 4    h: 1    IJBBCCIJDDL.IJAAL...EEL...KFF.GGK.HH
f: 5    g: 4    h: 1    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 5    g: 4    h: 1    I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 5    g: 4    h: 1    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 5    g: 4    h: 1    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 5    g: 4    h: 1    .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGKHH.
f: 5    g: 4    h: 1    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGKHH.
f: 5    g: 4    h: 1    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGKHH.
f: 5    g: 4    h: 1    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGKHH.
f: 6    g: 5    h: 1    I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 6    g: 5    h: 1    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 6    g: 5    h: 1    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 6    g: 5    h: 1    .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGK.HH
f: 6    g: 5    h: 1    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
f: 6    g: 5    h: 1    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
f: 6    g: 5    h: 1    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
